MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnsweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus,Churn
63.27,402,70,0,6,0,20,1.5,4.7,1.7,18.7,0,0,95.2,17,19.3,54.7,48.7,6.3,0,0.7,13,2,2,LAXSAN714,1,1,382,38,40,No,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,Yes,No,0,6,No,0,?,No,2-High,Other,Professiol,Yes,Yes
59.99,757,55,0.25,41,0,299,4.2,1.7,0.3,25.3,0,0.3,10.2,11.7,0,33.3,53.7,2,0,0,6,1,1,NEVSDG619,1,1,185,68,0,No,No,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,5,No,0,?,No,2-High,Other,Other,Yes,Yes
83.48,1470,45,0.25,137,0,-274,-28.5,18.3,1.3,25.3,1.7,0,400.2,59,6.3,116.7,207,19.7,0,0,28,1,1,NNYBUF716,2,2,196,24,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,4,No,0,30,No,1-Highest,Suburban,Other,?,Yes
28.8,104,20,2.48,16,0,-55,-7.8,0.3,5.7,1.7,0,0.3,9,0,0,17.3,6,6,0,0,24,1,1,CHILAG708,3,2,363,32,36,No,No,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,6,No,0,30,No,2-High,Other,Other,Yes,Yes
124.73,1365,54,0.25,190,4.8,-241,35.4,33.7,4.7,81.3,1.3,0,332.9,42.3,14.3,210.3,181.3,38.3,0,9.3,10,2,2,APCBAL410,3,3,35,46,0,No,Yes,Yes,Yes,No,?,No,No,No,No,No,No,1,1,No,No,0,1,No,0,100,Yes,3-Good,Suburban,Other,No,Yes
125.31,1613,55,0,250,0,275,55.5,16,1.7,98.3,0,0,190,66.7,0.7,105.7,240,20.7,0,0.7,6,1,1,NYCBRO917,1,1,189,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,?,No,3-Good,Other,Other,?,No
11.92,36,10,0.5,0,0.2,-9,-1.2,0.7,0,4.7,0,0,8.5,5.7,4.3,13.3,1.3,0.7,0,0,10,2,2,BOSMAN603,1,1,297,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,5-Low,Other,Other,?,No
57.36,132,50,2.72,0,0.9,137,4.9,0.7,8.7,13.7,0,0.3,14.3,6,2.7,38,11.7,9.3,0,0,24,3,3,OHICOL614,1,1,735,60,60,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,9,No,0,?,No,1-Highest,Town,Professiol,Yes,Yes
113.81,1575,55,0.25,184,0,192,28.6,12,6,47,5,0.3,669,73.7,78.3,184,344,18,0,14.7,11,1,1,FLNTAL850,1,1,333,48,44,Yes,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,9,No,0,?,No,2-High,Other,Professiol,Yes,No
61.66,316,30,5.94,74,0,270,38.1,2.3,0.3,14,0.3,0,33.7,16,3.3,57,26.3,2.7,0,0,27,2,2,SEABEA503,1,1,814,32,32,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,8,No,0,?,No,1-Highest,Town,Other,Yes,No
47.11,203,60,0,0,0.4,-123,-2.1,3.3,2,9,0,0,44.1,6,0.3,33,36.3,5.3,0,0.3,12,3,1,AIRCOL803,1,1,356,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,2-High,Other,Other,?,No
96.21,644,50,0.99,136,0.5,-194,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,SFRSFR415,2,1,329,30,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,6,No,0,150,No,2-High,Other,Other,?,No
50.45,267,50,0,0,0,44,-0.4,10,3.3,23.3,0.7,0.3,43.6,22,6.7,53,35,13.3,0,0,32,1,1,BOSBOS978,4,2,31,56,88,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,5,No,3,100,No,1-Highest,Suburban,Other,?,No
11.39,122,10,0,11,0,-8,1.8,2.7,0.7,5.3,2.3,0.3,19.9,19.7,6.3,51.7,15.3,3.3,0,0,15,2,2,AIRCOL803,1,1,455,46,44,Yes,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,8,No,0,?,No,2-High,Town,Professiol,Yes,Yes
30.24,140,40,0.25,0,0,-6,0.7,0.3,9,10.7,0,0,25.2,0.3,0,38.7,22,9.3,0,0,11,1,1,OHICOL614,1,1,330,34,34,Yes,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,5,No,0,?,No,5-Low,Rural,Other,No,No
108.24,1187,72,7.67,65,0,185,-14.3,18,1.7,53.3,4,2.3,160.7,45,8.3,262.7,109,19.7,0,1.3,22,3,1,LAXSMN310,2,2,231,?,?,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,2-High,Other,Other,?,No
57.98,398,57,0.5,0,0,110,0.5,3.7,4,17.7,0,0,36.4,58,10.7,76,48.3,7.7,0,3,27,2,2,HOUCON409,1,1,811,42,42,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,5,No,0,?,No,2-High,Rural,Professiol,Yes,No
72.29,374,42,0.5,114,0,-259,-40.3,2.3,4,8.7,0,0,121.6,28,4,48,23,6.3,0,0,38,2,2,INDIND317,2,2,513,48,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,4,No,0,30,No,3-Good,Other,Professiol,No,Yes
42.45,1017,45,0,21,0.2,-146,1.3,10.7,16,104.7,10,0,85.1,85.3,1.3,162.3,269.3,26.7,0,3,17,1,1,CHILAG630,4,3,238,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,100,No,4-Medium,Other,Other,?,No
54.17,550,50,0.5,11,0,-18,-3.2,1.3,41.7,5.7,8.7,0.7,80.8,15.3,3.3,116.7,75.7,43,0,1.3,19,1,1,CHICHI773,3,2,272,38,34,Yes,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,4,No,0,100,No,5-Low,Other,Other,Yes,No
116.79,1150,46,1.73,228,0,-440,-67.6,3.3,8,51,0,0,370.7,72,61,279.7,116.3,11.3,0,10.3,32,3,3,DALFTW817,3,3,37,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,150,No,1-Highest,Other,Other,No,No
37.53,365,30,0,21,0,-116,-7.5,1.3,17.3,6.3,0,0,176.1,27,9,68.7,92.3,18.7,0,0.3,19,1,1,CHIRCK815,1,1,568,56,50,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,1,7,No,0,?,No,5-Low,Other,Crafts,Yes,No
41.14,385,30,0,8,0,-54,-11.1,2,4.7,19.7,0,0.3,83.9,19.3,3.3,79.3,65.7,6.7,0,1,19,1,1,SAUS512,2,2,74,24,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,1,1,No,0,30,No,3-Good,Other,Other,No,No
23.27,135,30,0.74,0,0,-24,-22.3,0.7,2.3,24.7,0,0,20.2,13,1,30.3,59.3,3,0,0,29,1,1,LOULOU502,1,1,856,0,0,No,No,No,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,1-Highest,Suburban,Other,?,Yes
97.22,3058,82,6.19,36,3.6,-198,-83,33,21.7,182,5.7,0.7,646.2,324.3,178,451.3,569,54.7,0,37.7,36,2,1,KCYLAW913,2,2,446,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,3-Good,Suburban,Other,?,No
34.19,155,40,0,0,0.2,66,-0.2,0.3,1.7,19,1,0,2.1,5,0,47.7,21.3,2,0,0,11,1,1,MIAFTM941,1,1,309,32,0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,No,0,8,No,0,?,No,5-Low,Suburban,Other,Yes,Yes
54.53,750,45,0,51,1.6,173,52.2,6,0.7,34.3,0,0,157.3,17.3,8,67.3,81,6.7,0,2.3,17,1,1,DETWYN734,1,1,490,0,0,No,No,No,No,No,?,No,No,No,No,No,No,0,0,No,No,0,6,No,0,?,No,2-High,Suburban,Other,?,Yes
55.45,570,40,0,73,0,-35,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,OMAOMA402,1,1,358,54,54,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,Yes,No,0,8,No,0,?,No,2-High,Suburban,Professiol,No,Yes
107,660,30,2.48,254,2.3,-154,-26.8,7,1.3,50.3,0,0.7,123.5,25.3,2,165.3,113.7,8.3,0,5.7,15,2,2,DETPON248,3,3,185,46,46,Yes,Yes,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,9,No,0,200,No,3-Good,Suburban,Professiol,Yes,Yes
51.9,421,50,0.5,2,4.3,72,15.3,3.3,0.7,50.7,1.7,0.3,34.7,16.7,0.3,56.3,81.3,4.3,0,0,6,1,1,LAXIND760,1,1,182,54,0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,No,0,3,No,0,?,No,5-Low,Rural,Professiol,Yes,No
29.99,26,30,0,0,0,-11,0,1.3,0.3,7,0,0,8.4,1,0,14,6.3,1.7,0,0,27,1,1,FLNTAL850,1,1,807,44,52,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,6,No,0,?,No,3-Good,Other,Other,No,No
59.39,622,60,0,4,0,140,4.2,14.7,0.7,71.3,0,1.7,212.4,26.7,2.7,173,109.3,15.3,0,3,7,1,1,NNYSYR315,1,1,203,40,40,No,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,No,0,3,No,0,?,No,4-Medium,Other,Other,?,No
30.48,75,40,0.5,0,0,-44,-0.5,0.7,0.7,15,0,0,5.5,1.7,0,21.7,26,1.3,0,0,13,3,3,MIAFTL954,1,1,374,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,?,No,2-High,Suburban,Other,?,No
30.27,205,30,0,0,0,100,-0.3,0.7,9,20,0.7,1.3,18.3,18.7,0.3,69.3,25.7,9.7,0,0,20,1,1,OHIBER440,2,1,397,48,18,Yes,No,No,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,4,No,0,30,No,2-High,Suburban,Professiol,?,Yes
35.3,150,30,0,0,5,7,14.8,0.7,0.3,5.3,0,0,0,1.3,0,15.3,17.3,1,0,0,19,1,1,KCYTOP913,1,1,566,44,46,Yes,Yes,No,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,No,0,6,No,0,?,No,2-High,Other,Other,Yes,No
25.21,11,25,0,0,0,2,-0.2,0.3,0,0,0,0,0,1.7,0,1.7,5.7,0.3,0,0,26,2,2,NYCSUF516,1,1,778,30,0,No,Yes,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,2,No,0,?,No,3-Good,Town,Other,No,No
31.57,95,40,0,4,0,-86,-1.6,1.7,0,6.7,0,0,19,5.7,1.3,10.7,29.7,1.7,0,0,17,1,1,SEASEA206,1,1,502,22,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,?,No,3-Good,Other,Other,No,No
63.07,593,32,1.49,96,0,-90,22.6,19.7,0.3,0,0.3,0,173.7,37.3,6.3,248.3,54,20,0,0,28,2,2,NYCBRO917,1,1,855,42,72,No,No,No,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,5,No,0,?,No,1-Highest,Other,Other,?,No
121.28,772,50,3.22,214,3.4,-1,4.6,9,15,4.7,0,1.7,155.3,28,3.7,169.7,17.7,24,0,1,24,1,1,OHICIN513,1,1,715,42,42,Yes,No,Yes,Yes,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,9,No,0,?,No,1-Highest,Suburban,Other,Yes,Yes
100.47,505,25,0.99,170,2.4,77,-10.6,16.7,0.3,30,0.3,1,60.5,15.7,2.3,95,45.3,17,0,1.3,34,1,1,BOSBOS617,3,3,73,72,70,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,1,4,No,0,30,No,3-Good,Other,Retired,Yes,No
33.99,38,40,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,SANSAN210,1,1,303,52,48,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,7,No,0,?,No,2-High,Town,Professiol,Yes,No
38.18,277,45,0,2,2.5,286,-0.5,4.7,1.3,11.7,2,0,45,25.7,9,47,54,6,0,0.7,23,1,1,DETPON248,2,2,205,50,54,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,4,Yes,0,80,No,3-Good,Suburban,Other,No,No
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,SEASEA206,1,1,199,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,7-Lowest,Suburban,Other,?,Yes
84.61,178,20,0,154,4.4,468,176.3,0,2,0,0,0,0,0,0,1.3,1.3,2,0,0,20,1,1,FLNORL407,1,1,596,56,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,5,No,0,?,No,3-Good,Suburban,Other,No,No
104.18,536,95,2.72,0,0.9,-536,-5.9,2,1.3,8,1,0,86,15,3,159.7,13.3,3.3,2.3,2,17,1,1,NMXALB505,1,1,506,42,36,Yes,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,Yes,No,0,9,No,0,?,No,2-High,Suburban,Professiol,Yes,Yes
47.8,64,46,0.5,0,1.7,16,-31.4,0.3,0,3.7,0,0,8.8,1.7,2.7,16.3,3,0.3,0,0.3,35,2,2,OMAAMS515,2,2,285,50,46,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,9,No,0,30,No,1-Highest,Other,Clerical,Yes,No
171.99,2552,68,2.23,286,7.7,799,113.9,23.3,18.7,131,3,0,624.8,94.3,38.7,198.7,323,42,0,8.7,13,1,1,NSHNSH615,2,2,64,22,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,2,No,0,150,No,3-Good,Suburban,Other,No,No
40.73,283,45,0.25,4,0,45,4.2,2.7,3.7,9,0.7,0,71.2,5.7,1.7,72,14,6.3,0,0.7,11,2,2,INDIND317,2,1,127,0,0,No,No,Yes,No,No,?,Yes,Yes,No,No,No,No,0,0,No,No,0,3,No,0,130,No,2-High,Town,Other,No,No
15.5,144,15,0.25,0,0,-96,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,HARNOR203,1,1,251,38,38,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,?,No,2-High,Suburban,Other,Yes,No
57.49,1042,60,0,24,0,-16,-7.5,15.3,2.3,115.3,2.3,0,306.7,26.3,9.7,241.3,188,17.7,0,0,17,1,1,LAXMON323,2,2,299,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,5,No,0,10,No,5-Low,Other,Other,?,No
50.44,537,60,0,0,0,-14,-0.4,3.7,0.3,30.7,5.7,0,157.7,31.3,12,116.3,47,4,0,1.7,7,1,1,LAXONT909,1,1,212,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,1,0,No,0,?,No,2-High,Other,Other,?,No
30.77,92,30,0.5,0,0,-32,-0.8,1.7,2.3,6.7,0,0,20,14.3,2,26,6.3,4,0,0,19,1,1,FLNOGC904,1,1,575,58,60,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,5,Yes,0,?,No,2-High,Town,Other,Yes,No
29.91,198,40,0,3,0,12,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,HOUHOU281,1,1,296,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,2-High,Suburban,Other,?,No
55.2,313,30,2.48,41,3.7,-43,-7.1,3.3,0.7,17.3,0.3,0.3,94.4,12,8.7,68,22.7,4,0,0,26,1,1,APCSIL301,2,2,210,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,30,No,3-Good,Other,Other,?,No
49.43,393,45,0.74,24,0,1,-5.6,0.7,3.3,17.7,0,0,71.6,10.7,0,71.3,63,4,0,0.7,13,1,1,OHILAN740,1,1,386,20,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,1,No,0,?,No,3-Good,Town,Other,No,No
177.11,2050,82,2.48,260,0,486,92.7,29,2,68,1,0.3,639.6,45.7,1.3,173.3,207,31,0,2.3,9,1,1,SEASEA206,1,1,286,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,?,No,1-Highest,Suburban,Other,?,No
17.79,7,17,0,0,0.6,0,-0.8,0.3,0,0,0,0,0,0,0,0.7,0,0.3,0,0,20,1,1,SEAALB541,1,1,618,68,66,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,4,No,0,?,No,2-High,Rural,Other,Yes,No
51.72,324,60,1.73,0,0,-30,1.2,6.7,1,6.3,0,0,92.5,17,2.7,85.3,36,7.7,0,1,9,1,1,DENDEN303,1,1,272,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,3-Good,Suburban,Other,?,No
312,2514,95,9.4,543,0,-96,24.5,20,4,84.7,3.3,0,960.2,83,17.7,478.7,181,24,0,15,35,1,1,DETPON248,4,2,38,58,54,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,1,9,No,1,150,No,3-Good,Other,Other,Yes,No
